Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
01M696-2006,BARD HIGH SCHOOL EARLY COLLEGE - 2006,1,96.4,96.4,0,0.7,-1.714486445,-1.325094743,0.590659848
01M696-2005,BARD HIGH SCHOOL EARLY COLLEGE - 2005,1,93,93,0,0.9,-1.558573279,-1.280652329,0.494253834
01M696-2004,BARD HIGH SCHOOL EARLY COLLEGE - 2004,1,92.3,92.3,0,0.9,-1.528528417,-1.273527222,0.471134115
01M696-2003,BARD HIGH SCHOOL EARLY COLLEGE - 2003,1,97.6,97.6,0,0.8,-1.761001431,-1.332391839,0.638238531
01M696-2002,BARD HIGH SCHOOL EARLY COLLEGE - 2002,1,94.5,93.6,0,0,-1.649621205,-1.337706274,0.457644076
01M696-2001,BARD HIGH SCHOOL EARLY COLLEGE - 2001,1,94.1,92.4,0,1.7,-1.531393618,-1.247843424,0.566475251
02M047-2017,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2017,0,93.5,93.5,64.5,3.2,-2.756410465,1.517332417,-0.173312688
02M047-2016,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2016,0,100,89.6,31.3,0,-2.319628491,-0.062244214,0.064040883
02M047-2015,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2015,1,92.5,72.5,15,7.5,-1.10249087,-0.270540678,0.475004398
02M047-2014,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2014,1,85.7,77.1,20,5.7,-1.23169073,-0.112606005,0.225752656
02M047-2013,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2013,1,91.4,80,11.4,2.9,-1.387148501,-0.659288451,0.261559788
02M047-2012,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2012,1,82.8,74.1,13.8,1.7,-1.180699911,-0.538079346,-0.106130267
02M047-2011,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2011,1,51.7,44.8,6.9,3.4,0.340615898,-0.430631368,-0.876218368
02M047-2010,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2010,1,70.7,48.8,0,7.3,0.162004521,-0.67883917,-0.090238807
02M047-2009,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2009,1,65.9,59.1,6.8,4.5,-0.213995975,-0.525523158,-0.316853222
02M047-2008,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2008,2,41.7,38.9,0,11.1,1.209088556,-0.249225583,-0.435285277
02M047-2007,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2007,1,69.6,52.2,4.3,4.3,-0.117815745,-0.648184686,-0.349463286
02M047-2006,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2006,1,76,32,0,4,0.217933908,-0.83439508,-0.537062503
02M047-2005,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2005,2,37.5,16.7,0,12.5,1.824191389,-0.088221567,-0.755737025
02M047-2004,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2004,1,35.7,35.7,14.3,0,0.569642117,-0.145285795,-1.661941293
02M047-2003,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2003,2,29.4,23.5,0,5.9,1.540369551,-0.371221176,-1.30512006
02M047-2002,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2002,2,22.2,5.6,0,5.6,2.05138342,-0.283314894,-1.740907011
02M047-2001,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL - 2001,2,0,0,0,9.1,2.842321444,0.06919376,-1.925885706
02M135-2017,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2017,0,90.9,90.9,50.9,7.3,-2.167960994,1.178221003,0.249324008
02M135-2016,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2016,1,91.9,91.9,1.6,4.8,-1.348759496,-1.010950105,0.746270846
02M135-2015,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2015,1,87.1,85.5,6.5,8.1,-1.043697854,-0.591072225,0.758024741
02M135-2014,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2014,1,74.7,68,0,9.3,-0.218064759,-0.662930711,0.448161409
02M135-2013,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT - 2013,1,67,65.9,0,5.5,-0.190755166,-0.786786773,-0.016917286
02M139-2017,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2017,1,87.5,87.5,0,6.7,-1.033058029,-0.939461663,0.773401963
02M139-2016,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2016,1,83.5,83.5,10.3,8.2,-0.99270064,-0.395424334,0.622041214
02M139-2015,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2015,1,87.5,75,5,7.5,-0.839774698,-0.657284921,0.566320543
02M139-2014,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2014,1,78,69,2,11,-0.26826773,-0.523201571,0.627905412
