School_Names,lat,lng
PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,40.8324641,-73.8788494
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,40.8232858,-73.89873419999999
THE CINEMA SCHOOL,40.8320496,-73.87734329999999
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,40.8274283,-73.90059029999999
BRONX REGIONAL HIGH SCHOOL,40.8233177,-73.8987455
BRONX ENVISION ACADEMY,40.8363157,-73.8907414
THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,40.8320592,-73.8787546
HIGH SCHOOL OF WORLD CULTURES,40.8320592,-73.8787546
BRONX COALITION COMMUNITY HS,40.8319947,-73.8787416
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,40.8311242,-73.88568839999999
WINGS ACADEMY,40.8416176,-73.87519379999999
MONROE ACADEMY FOR BUSINESSLAW,40.83204509999999,-73.8783844
MONROE ACADEMY FOR VISUAL ARTS & DESIGN,40.831969,-73.8787467
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,40.6969046,-73.9759851
ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,40.27006129999999,-74.7769539
URBAN ASSEMBLY SCHOOL OF MUSIC AND ART,40.6975124,-73.98469949999999
BROOKLYN COMMUNITY ARTS & MEDIA HIGH SCHOOL (BCAM),40.6919469,-73.9586747
"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",40.6975151,-73.9847829
BROOKLYN TECHNICAL HIGH SCHOOL,40.6890878,-73.9767351
BROOKLYN INTERNATIONAL HIGH SCHOOL,40.6975179,-73.9848666
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,40.6944935,-73.9885235
ACORN COMMUNITY HIGH SCHOOL,40.6785851,-73.9619443
FREEDOM ACADEMY HS,40.6984181,-73.9865245
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,40.69464929999999,-73.9885236
BROOKLYN ACADEMY HIGH SCHOOL,40.6846198,-73.9475537
BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,40.6820023,-73.9452586
GOTHAM PROFESSIONAL ARTS ACADEMY,40.6785573,-73.9619541
BEDFORD ACADEMY HIGH SCHOOL,40.6854484,-73.9541584
GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.6958355,-73.9856023
BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,40.6917732,-73.9584849
BENJAMIN BANNEKER ACADEMY,40.042487,-74.90111019999999
"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",40.6958473,-73.9856835
JUAN MOREL CAMPOS SECONDARY SCHOOL,40.7038726,-73.95397559999999
FOUNDATIONS ACADEMY,40.2238987,-74.7769587
"BROOKLYN LATIN SCHOOL, THE",40.7097999,-73.9440072
THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,40.7097782,-73.9441904
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,40.7119673,-73.94004989999999
EAST WILLIAMSBURG SCHOLARS ACADEMY,40.7112012,-73.93891289999999
"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",40.7119031,-73.94046639999999
BROOKLYN PREPARATORY HIGH SCHOOL,40.71582799999999,-73.95540129999999
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,40.715844,-73.9553841
WILLIAMSBURG PREPARATORY SCHOOL,40.7152412,-73.9542981
LYONS COMMUNITY SCHOOL,40.709729,-73.9443861
A-TECH HIGH SCHOOL,40.7220162,-73.9538965
YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,40.70497599999999,-73.938767
FRANCES PERKINS ACADEMY,40.7222353,-73.95329389999999
HARRY VAN ARSDALE HS,40.7158221,-73.9554076
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,40.70572180000001,-73.9556504
AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP,40.6775108,-74.00458189999999
BROOKLYN FRONTIERS HIGH SCHOOL,40.6900029,-73.989221
DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,40.6851261,-73.99433560000001
BROOKLYN COLLABORATIVE STUDIES,40.6795695,-74.0018865
JOHN JAY HS,40.6694848,-73.97909539999999
JOHN JAY SCHOOL FOR LAW,40.6694922,-73.9788435
CYBERARTS STUDIO ACADEMY,40.6694314,-73.9788951
PARK SLOPE COLLEGIATE,40.6695576,-73.9790898
THE BOERUM HILL SCHOOL FOR INTERNATIONAL STUDIES,40.684855,-73.99290739999999
COBBLE HILL SCHOOL OF AMERICAN STUDIES,40.6851337,-73.9907743
PACIFIC HS,40.6900029,-73.989221
WEST BROOKLYN COMMUNITY HIGH SCHOOL,40.6427801,-73.9925404
METROPOLITAN CORPORATE ACADEMY HS,40.686403,-73.9797142
KHALIL GIBRAN INTERNATIONAL ACADEMY,40.686403,-73.9797142
BROOKLYN HIGH SCHOOL OF THE ARTS,40.6838067,-73.9804
SUNSET PARK HIGH SCHOOL,40.65516160000001,-74.0040776
MILLENNIUM BROOKLYN HS,40.6694314,-73.9788951
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,40.6778393,-74.0141929
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,40.8242589,-73.9367966
BOYS AND GIRLS HIGH SCHOOL,40.6784744,-73.93161769999999
