# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
1296,652,540,15,176,614,682,34,190,8,1057,4,3,1136,160,316,980
344,234,220,21,36,154,190,104,139,56,29,6,10,263,81,60,284
733,701,686,227,3,333,400,310,189,46,180,2,6,520,213,108,625
1615,848,764,217,292,792,823,40,88,90,1389,5,3,1491,124,42,1573
1146,995,935,194,52,660,486,26,358,25,720,5,12,1000,146,205,941
887,627,584,9,58,337,550,7,792,7,74,6,1,714,173,189,698
1946,742,434,135,535,965,981,232,792,434,481,6,1,1584,362,214,1732
1528,875,607,0,241,799,729,43,414,49,1015,4,3,1233,295,314,1214
1096,631,537,61,138,622,474,14,917,50,107,3,5,535,561,122,974
738,592,581,0,48,356,382,168,127,130,294,8,11,593,145,137,601
2397,1545,1160,143,275,1319,1078,159,685,209,1322,6,16,1880,517,402,1995
541,257,214,9,147,233,262,7,147,4,271,0,0,464,77,91,450
803,291,134,4,185,415,388,20,364,27,390,1,1,585,218,148,655
4097,3736,3504,2395,72,2261,1836,2531,466,659,390,11,40,1495,2602,408,3689
1081,194,133,0,198,540,541,182,488,38,369,1,3,901,180,205,876
1914,792,677,122,636,761,1153,234,352,380,941,6,1,1432,482,67,1847
657,568,534,44,31,351,306,102,287,52,209,5,2,541,116,129,528
11841,6886,6442,1542,1427,5846,5995,1461,1484,1963,6862,27,44,8544,3297,1546,10295
1416,682,480,9,260,712,704,10,475,15,909,5,2,1234,182,329,1087
3961,1437,929,195,996,2051,1910,59,1182,73,2631,16,0,3356,605,483,3478
3571,1457,1292,718,872,1665,1906,41,271,2614,621,13,11,2636,935,130,3441
925,667,558,12,71,598,327,36,280,86,506,5,12,675,250,281,644
852,536,483,0,108,419,433,21,327,7,493,3,1,706,146,177,675
1609,1533,1512,384,13,911,698,234,308,428,594,13,32,979,630,108,1501
570,341,332,26,96,280,290,9,26,15,520,0,0,520,50,35,535
1774,1409,1291,662,82,897,877,1,3,1,1767,0,2,1555,219,40,1734
853,746,687,52,35,367,486,42,209,48,536,5,13,693,160,141,712
6641,5802,5629,3726,149,3403,3238,245,1371,1227,3734,39,25,5525,1116,529,6112
5017,1482,1266,250,1072,2274,2743,362,1579,1502,1544,20,10,4308,709,225,4792
354,328,315,0,6,195,159,29,127,23,161,4,10,247,107,65,289
1213,775,629,0,92,616,597,184,173,325,527,2,2,975,238,23,1190
533,256,163,3,80,337,196,8,229,9,239,2,0,357,176,87,446
1639,1561,1480,1068,9,1027,612,120,318,121,1064,1,15,1215,424,190,1449
1668,1497,1446,447,29,886,782,115,339,221,979,12,2,1513,155,127,1541
1085,562,417,90,159,574,511,18,273,112,678,3,1,926,159,241,844
227,160,0,0,55,0,1,0,1,0,0,0,0,195,32,1,0
9394,5890,4967,772,977,4481,4913,359,5066,2403,1359,155,52,4320,5074,973,8421
1879,1842,1829,772,10,985,894,612,37,327,832,7,64,1115,764,248,1631
1839,1244,1079,169,128,753,1086,20,1425,184,175,22,13,1192,647,156,1683
3374,3107,2977,919,42,1947,1427,55,3069,53,141,22,34,2256,1118,104,3270
749,381,172,3,96,394,355,11,601,8,124,5,0,732,17,102,647
1142,236,190,0,185,611,531,11,936,8,174,9,4,976,166,210,932
